                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7774,                 3.8081,                 1.5121,                0.01005,                0.15295,                0.02309,                0.00971,                 1.5313,                 3.7398,                 1.3796,               0.000225,               0.000225,               0.000225
                      2,                 1.6231,                  2.479,                 1.2877,                0.78664,                0.10808,                0.17955,                0.09067,                 1.5625,                 2.9688,                 1.3088,             0.00046097,             0.00046097,             0.00046097
                      3,                 1.5791,                 2.0213,                 1.2593,                0.49149,                0.24399,                0.21699,                0.11706,                 1.5374,                 1.8095,                 1.3237,             0.00069538,             0.00069538,             0.00069538
                      4,                 1.5431,                 1.7558,                 1.2283,                0.21839,                0.35336,                0.23384,                0.12046,                 1.5781,                 1.7394,                 1.3102,             0.00092822,             0.00092822,             0.00092822
                      5,                  1.506,                  1.607,                 1.2391,                0.19531,                 0.3604,                0.22971,                 0.1278,                  1.498,                 1.6198,                 1.2839,              0.0011595,              0.0011595,              0.0011595
                      6,                 1.4985,                 1.5317,                 1.2362,                0.24978,                0.31847,                0.22817,                0.12902,                 1.4654,                 1.8841,                 1.2629,              0.0012294,              0.0012294,              0.0012294
                      7,                 1.5004,                 1.5486,                  1.225,                0.18723,                0.40572,                0.26018,                0.14528,                  1.441,                 1.5281,                 1.2675,              0.0012294,              0.0012294,              0.0012294
                      8,                 1.4461,                 1.4713,                 1.2149,                   0.23,                0.36161,                0.25335,                0.14055,                  1.454,                 1.5959,                 1.2559,              0.0012252,              0.0012252,              0.0012252
                      9,                 1.4442,                 1.5004,                 1.2079,                0.28111,                0.37354,                0.27324,                0.15058,                 1.4631,                 1.6305,                 1.2358,              0.0012211,              0.0012211,              0.0012211
                     10,                 1.4762,                 1.4725,                  1.221,                0.48024,                0.37793,                0.26855,                0.15004,                 1.4055,                 1.6957,                 1.2226,               0.001217,               0.001217,               0.001217
                     11,                 1.4334,                  1.466,                 1.2044,                0.25617,                0.38615,                0.27571,                0.15555,                 1.4009,                  1.645,                 1.2147,              0.0012129,              0.0012129,              0.0012129
                     12,                 1.3989,                 1.4088,                  1.186,                0.75748,                0.27665,                0.28399,                0.15631,                 1.4443,                 1.5096,                 1.2181,              0.0012087,              0.0012087,              0.0012087
                     13,                 1.3969,                 1.4101,                 1.1752,                0.57733,                0.33746,                0.28185,                0.16112,                 1.3675,                  1.632,                 1.2057,              0.0012046,              0.0012046,              0.0012046
                     14,                 1.4082,                  1.433,                 1.2123,                0.36468,                0.36517,                0.28755,                0.16269,                 1.3719,                 1.5369,                  1.214,              0.0012005,              0.0012005,              0.0012005
                     15,                 1.4209,                 1.4274,                 1.2025,                0.25748,                0.42069,                 0.2974,                0.17113,                 1.3657,                 1.4939,                 1.2523,              0.0011964,              0.0011964,              0.0011964
                     16,                 1.3869,                 1.3806,                 1.1734,                0.31671,                0.33673,                0.28643,                0.15876,                 1.4509,                 1.5956,                 1.2628,              0.0011922,              0.0011922,              0.0011922
                     17,                 1.3777,                 1.3316,                 1.1861,                0.32632,                0.39229,                0.30448,                0.17487,                 1.4154,                 1.4908,                 1.2452,              0.0011881,              0.0011881,              0.0011881
                     18,                  1.357,                 1.3964,                 1.1804,                0.31654,                0.39105,                0.31512,                0.18175,                 1.3598,                 1.4673,                 1.2161,               0.001184,               0.001184,               0.001184
                     19,                 1.3495,                 1.3249,                 1.1642,                 0.4634,                0.37939,                0.33849,                0.19528,                 1.3943,                 1.4061,                 1.2423,              0.0011799,              0.0011799,              0.0011799
